organization_npi,claim_inpatient_admission_type_code,claim_admitting_diagnosis_code,patient_count,claim_count
1720038946,3,20040,100,100
1720038946,3,20280,100,100
1720038946,3,20300,500,500
1720038946,3,20302,100,100
1720038946,3,20500,100,100
1720038946,3,20501,100,100
1720038946,3,2113,100,100
1720038946,3,23875,100,100
1720038946,3,V5811,100,500
1720042203,1,1629,100,100
1720042203,3,1749,100,100
1720042203,3,185,100,100
1720042203,3,2113,100,100
1720067127,3,1749,100,100
1720067127,3,2113,100,100
1720078041,1,1629,100,100
1720078041,1,2396,100,100
1720078041,2,193,100,100
1720078041,3,1539,100,100
1720078041,3,1541,100,100
1720078041,3,1629,100,100
1720078041,3,1749,100,100
1720078041,3,185,100,100
1720078041,3,1889,100,100
1720078041,3,193,100,100
1720078041,3,2113,100,100
1720078082,2,1629,100,100
1720078082,3,1623,100,100
1720079619,3,1536,100,100
1720085137,1,51181,100,100
1720085137,2,185,100,100
1720085137,2,V5811,100,100
1720085137,3,1531,100,100
1720085137,3,1533,100,100
1720085137,3,1534,100,100
1720085137,3,1536,100,100
1720085137,3,1539,100,100
1720085137,3,1623,100,100
1720085137,3,1625,100,100
1720085137,3,1629,100,100
1720085137,3,1749,100,100
1720085137,3,185,100,100
1720085137,3,1889,100,100
1720085137,3,1890,100,100
1720085137,3,193,100,100
1720085137,3,1983,100,100
1720085137,3,2113,100,100
1720085137,3,2189,100,100
1720085137,3,2396,100,100
1720085137,3,V5811,100,100
1720085137,9,1536,100,100
1720085137,9,1623,100,100
1720085137,9,1625,100,100
1720085137,9,2113,100,100
1720085137,9,V5811,100,100
1720088123,1,1629,100,100
1720088123,2,1534,100,100
1720088123,2,1629,100,100
1720088354,3,1541,100,100
1720088354,3,1623,100,100
1720088354,3,1625,100,100
1720088354,3,1629,100,100
1720088354,3,1744,100,100
1720088354,3,1749,100,100
1720088354,3,185,100,100
1720088354,3,2113,100,100
1720158009,3,1749,100,100
1720175623,2,1629,100,100
1720175623,2,1749,100,100
1720175623,2,V5811,100,100
1720175623,3,1623,100,100
1720175623,3,1629,100,100
1720175623,3,1820,100,100
1720175623,3,V5811,100,100
1720185267,1,1629,100,100
1720185267,3,1539,100,100
1720185267,3,1629,100,100
1720390289,2,185,100,100
1720390289,3,1820,100,100
1720390289,3,1844,100,100
1720390289,3,185,500,500
1720390289,3,1888,100,100
1720390289,3,1889,100,100
1720390289,3,1890,100,100
1730106162,3,1820,100,100
1730106162,3,1890,100,100
1730106162,3,2113,100,100
1730115940,3,1748,100,100
1730115940,3,226,100,100
1730121633,1,1629,100,100
1730121633,3,1530,100,100
1730121633,3,1531,100,100
1730121633,3,1533,100,100
1730121633,3,1534,100,100
1730121633,3,1536,100,100
1730121633,3,1539,100,100
1730121633,3,1541,100,100
1730121633,3,1623,100,100
1730121633,3,1625,100,100
1730121633,3,2113,100,100
1730123175,2,1629,100,100
1730123175,2,20300,100,100
1730123175,2,V5811,100,100
1730123175,3,1536,100,100
1730123175,3,1539,100,100
1730123175,3,1623,100,100
1730123175,3,1625,100,100
1730123175,3,1629,100,100
1730123175,3,1749,100,100
1730123175,3,1820,100,100
1730123175,3,185,500,500
1730123175,3,1889,100,100
1730123175,3,1890,100,100
1730123175,3,1891,100,100
1730123175,3,1892,100,100
1730123175,3,2113,100,100
1730123175,3,2252,100,100
1730123175,3,V5811,100,100
1730128836,1,1629,100,100
1730128836,3,1539,100,100
1730128836,3,1623,100,100
1730128836,3,185,100,100
1730128836,3,1889,100,100
1730128836,3,1890,100,100
1730128836,3,2113,100,100
1730128836,3,V5811,100,100
1730132234,2,1541,100,100
1730132234,2,1623,100,100
1730132234,2,1749,100,100
1730132234,2,1820,100,100
1730132234,2,185,100,100
1730132234,2,193,100,100
1730132234,2,2330,100,100
1730132234,2,V5811,100,100
1730132234,3,1531,100,100
1730132234,3,1533,100,100
1730132234,3,1534,100,100
1730132234,3,1536,100,100
1730132234,3,1539,100,100
1730132234,3,1540,100,100
1730132234,3,1541,100,100
1730132234,3,1623,100,100
1730132234,3,1625,100,100
1730132234,3,1629,100,100
1730132234,3,1749,100,100
1730132234,3,1820,100,100
1730132234,3,1830,100,100
1730132234,3,185,500,500
1730132234,3,1889,100,100
1730132234,3,1890,100,100
1730132234,3,2113,100,100
1730132234,3,2189,100,100
1730132234,3,2252,100,100
1730132234,3,2330,100,100
1730132234,3,2390,100,100
1730132515,1,1629,100,100
1730132515,1,1983,100,100
1730132515,2,1629,100,100
1730132515,2,1889,100,100
1730132515,2,20300,100,100
1730132515,2,20500,100,100
1730132515,2,V5811,100,100
1730132515,3,1535,100,100
1730132515,3,1541,100,100
1730132515,3,1550,100,100
1730132515,3,1623,100,100
1730132515,3,1625,100,100
1730132515,3,1749,100,100
