"Provider ID","Measure","Score","Footnote"
"VI","HAI_3_CI_LOWER","Not Available","Results cannot be calculated for this reporting period."
"VT","HAI_3_CI_LOWER","1.422",""
"WA","HAI_3_CI_LOWER","0.731",""
"WI","HAI_3_CI_LOWER","0.803",""
"WV","HAI_3_CI_LOWER","0.657",""
"WY","HAI_3_CI_LOWER","0.365",""
"AK","HAI_4_SIR","0.189",""
"AL","HAI_4_SIR","0.509",""
"AR","HAI_4_SIR","0.783",""
"AS","HAI_4_SIR","Not Available","Results cannot be calculated for this reporting period."
"AZ","HAI_4_SIR","0.839",""
"CA","HAI_4_SIR","0.825",""
"CO","HAI_4_SIR","1.141",""
"CT","HAI_4_SIR","1.543",""
"DC","HAI_4_SIR","0.970",""
"DE","HAI_4_SIR","1.099",""
"FL","HAI_4_SIR","0.938",""
"GA","HAI_4_SIR","0.785",""
"GU","HAI_4_SIR","Not Available","Results cannot be calculated for this reporting period."
"HI","HAI_4_SIR","0.688",""
"IA","HAI_4_SIR","0.979",""
"ID","HAI_4_SIR","0.642",""
"IL","HAI_4_SIR","0.793",""
"IN","HAI_4_SIR","0.727",""
"KS","HAI_4_SIR","0.563",""
"KY","HAI_4_SIR","1.124",""
"LA","HAI_4_SIR","1.147",""
"MA","HAI_4_SIR","1.160",""
"MD","HAI_4_SIR","1.365",""
"ME","HAI_4_SIR","1.119",""
"MI","HAI_4_SIR","1.251",""
"MN","HAI_4_SIR","1.359",""
"MO","HAI_4_SIR","0.752",""
"MP","HAI_4_SIR","Not Available","Results cannot be calculated for this reporting period."
"MS","HAI_4_SIR","0.944",""
"MT","HAI_4_SIR","1.225",""
"NC","HAI_4_SIR","0.806",""
"ND","HAI_4_SIR","1.528",""
"NE","HAI_4_SIR","0.624",""
"NH","HAI_4_SIR","1.426",""
"NJ","HAI_4_SIR","0.922",""
"NM","HAI_4_SIR","0.931",""
"NV","HAI_4_SIR","0.903",""
"NY","HAI_4_SIR","1.333",""
"OH","HAI_4_SIR","0.692",""
"OK","HAI_4_SIR","0.494",""
"OR","HAI_4_SIR","0.719",""
"PA","HAI_4_SIR","0.966",""
"PR","HAI_4_SIR","Not Available","Results cannot be calculated for this reporting period."
"RI","HAI_4_SIR","1.453",""
"SC","HAI_4_SIR","0.809",""
"SD","HAI_4_SIR","1.248",""
"TN","HAI_4_SIR","0.758",""
"TX","HAI_4_SIR","0.778",""
"UT","HAI_4_SIR","1.372",""
"VA","HAI_4_SIR","0.794",""
"VI","HAI_4_SIR","Not Available","Results cannot be calculated for this reporting period."
"VT","HAI_4_SIR","0.936",""
"WA","HAI_4_SIR","0.656",""
"WI","HAI_4_SIR","0.996",""
"WV","HAI_4_SIR","0.789",""
"WY","HAI_4_SIR","0.640",""
"AK","HAI_4_CI_UPPER","1.053",""
"AL","HAI_4_CI_UPPER","0.699",""
"AR","HAI_4_CI_UPPER","1.174",""
"AS","HAI_4_CI_UPPER","Not Available","Results cannot be calculated for this reporting period."
"AZ","HAI_4_CI_UPPER","1.112",""
"CA","HAI_4_CI_UPPER","0.951",""
"CO","HAI_4_CI_UPPER","1.587",""
"CT","HAI_4_CI_UPPER","2.041",""
"DC","HAI_4_CI_UPPER","1.998",""
"DE","HAI_4_CI_UPPER","1.920",""
"FL","HAI_4_CI_UPPER","1.104",""
"GA","HAI_4_CI_UPPER","0.970",""
"GU","HAI_4_CI_UPPER","Not Available","Results cannot be calculated for this reporting period."
